,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst,epoch_std,epoch_min,epoch_max,loss_std,loss_min,loss_max,acc_std,acc_min,acc_max,tss_std,tss_min,tss_max,hss_std,hss_min,hss_max,mcc_std,mcc_min,mcc_max,f1_std,f1_min,f1_max,precision_std,precision_min,precision_max,recall_std,recall_min,recall_max,TP_std,TP_min,TP_max,FN_std,FN_min,FN_max,TN_std,TN_min,TN_max,FP_std,FP_min,FP_max,auc_roc_std,auc_roc_min,auc_roc_max,auc_pr_std,auc_pr_min,auc_pr_max,val_loss_std,val_loss_min,val_loss_max,val_acc_std,val_acc_min,val_acc_max,val_tss_std,val_tss_min,val_tss_max,val_hss_std,val_hss_min,val_hss_max,val_mcc_std,val_mcc_min,val_mcc_max,val_f1_std,val_f1_min,val_f1_max,val_precision_std,val_precision_min,val_precision_max,val_recall_std,val_recall_min,val_recall_max,val_TP_std,val_TP_min,val_TP_max,val_FN_std,val_FN_min,val_FN_max,val_TN_std,val_TN_min,val_TN_max,val_FP_std,val_FP_min,val_FP_max,val_auc_roc_std,val_auc_roc_min,val_auc_roc_max,val_auc_pr_std,val_auc_pr_min,val_auc_pr_max,far_std,far_min,far_max,val_far_std,val_far_min,val_far_max,num_train_inst_std,num_train_inst_min,num_train_inst_max
0,0.0,1.4519932746887207,0.5561882257461548,0.08935494422912596,0.08990594334900373,0.17000442743301386,0.6925647020339966,0.5367959022521973,0.9764192938804627,7065.0,175.8,821.0,6087.0,0.7181126952171326,0.7406180739402771,0.6495294809341431,0.5733539581298828,0.11158357858657837,0.11458943497855216,0.1592106234282255,0.6022033989429474,0.6598681449890137,0.7926980972290039,828.0,217.6,293.0,617.0,0.6568656921386719,0.6728420615196228,0.46320409774780275,0.3401318550109863,13257.6,0.0,0,0,0.04013511195873514,1.4074029922485352,1.5026099681854248,0.018372020578428964,0.5332722663879395,0.5745863914489746,0.057066693369746936,0.0278370380401611,0.1843944787979126,0.05452159062623348,0.0289849285036325,0.1768601238727569,0.06440940650147349,0.095660850405693,0.2720955610275268,0.00882729778176654,0.6809957027435303,0.7065563797950745,0.012256019013444691,0.5257281064987183,0.5528560876846313,0.01567948331243082,0.9526680111885072,0.9938007593154908,392.6835876376806,6707.0,7646.0,122.0219652357722,42.0,369.0,552.0304339436368,224.0,1722.0,70.11989731880674,5978.0,6184.0,0.013047410607550465,0.6967375874519348,0.7327238321304321,0.0067738840735044,0.7283040881156921,0.7474802732467651,0.053157085580319965,0.5844395160675049,0.728374719619751,0.07374513779062974,0.505316436290741,0.7087329626083374,0.14388581099083858,-0.0009514689445495,0.3882104158401489,0.1481893212723053,-0.0010115647455677,0.3989529609680176,0.16759604818995316,-0.0211159531027078,0.4439179003238678,0.23787197225096604,0.1300089061260223,0.7716659903526306,0.17674808772827533,0.5281297564506531,1.0,0.36259202992615747,0.069523811340332,1.0,378.4964993233095,73.0,1050.0,380.75955667586334,0.0,977.0,352.91415386748093,0.0,925.0,346.76620365889175,0.0,931.0,0.0866517242011725,0.5651000738143921,0.7790776491165161,0.0932367927181071,0.5496704578399658,0.7863621711730957,0.012256019013444698,0.4471439123153686,0.4742718935012817,0.1767480877282753,0.0,0.4718702435493469,5.462600113499065,13249,13264
1,1.0,1.079368233680725,0.7073076963424683,0.3935893774032593,0.40149121880531313,0.4608392953872681,0.7719356417655945,0.6511618375778199,0.9489664793014526,6418.0,345.2,2765.2,3455.6,0.8037577033042907,0.8171940684318543,0.5822696685791016,0.7243247270584107,0.4727767467498779,0.46136029362678527,0.5106415688991547,0.6690061569213868,0.9026827931404113,0.559941965341568,584.6,461.0,830.0,80.0,0.8151755094528198,0.8150675654411316,0.3488381624221802,0.0973172068595886,26515.2,0.0,1,1,0.021760214501757604,1.052898406982422,1.106706142425537,0.026461131500398388,0.6735183000564575,0.7463712096214294,0.055237115675400524,0.3206918239593506,0.4752771854400635,0.05540633242682264,0.3289507031440735,0.4832380414009094,0.04253927074189787,0.4081412851810455,0.5222588181495667,0.015065634695252574,0.754802405834198,0.7938500046730042,0.02499253763442163,0.6205744743347168,0.6895235776901245,0.011013388960154531,0.9353741407394408,0.963122010231018,70.35055081518551,6325.0,6503.0,74.68975833405808,249.0,437.0,389.9514841618121,2213.0,3342.0,401.65985609717086,2848.0,3976.0,0.016429240269015148,0.7833694219589233,0.8302338123321533,0.01302044557878121,0.8018090128898621,0.8381242752075195,0.03340590524980729,0.54279625415802,0.623083770275116,0.06809882509696366,0.630994439125061,0.811965823173523,0.12877495866260574,0.304002046585083,0.6482834815979004,0.12772902329519545,0.2909213006496429,0.6304113864898682,0.10007973280412029,0.3977441191673279,0.6544979810714722,0.12591869301189199,0.4789736270904541,0.8053097128868103,0.0801856796175039,0.7479591965675354,0.96321839094162,0.166356161236543,0.3190883100032806,0.7054263353347778,171.34363133773022,336.0,733.0,176.5661349183359,304.0,717.0,85.43769659816445,684.0,914.0,86.47543003651384,14.0,247.0,0.06725770027105213,0.7369609475135803,0.9058563709259032,0.06540158887171586,0.7416602969169617,0.9066613912582396,0.024992537634421625,0.3104764223098755,0.3794255256652832,0.08018567961750388,0.0367816090583801,0.2520408034324646,10.92520022699813,26498,26528
2,2.0,0.9151606559753418,0.8538769483566284,0.7048029899597168,0.7065185546875,0.7079105019569397,0.8636770486831665,0.8404795289039612,0.8883424043655396,6008.0,755.2,5078.2,1142.6,0.9069466471672059,0.906213927268982,0.5324630498886108,0.749209976196289,0.5217988729476929,0.5091082513332367,0.5505969107151032,0.7124812722206115,0.9100277066230774,0.5996795296669006,627.0,418.6,838.0,72.0,0.8485652685165406,0.8489598631858826,0.15952047109603879,0.08997229337692259,39772.8,0.0,2,2,0.02697178466777977,0.8712925910949707,0.9465752840042114,0.011264278204339742,0.8349359035491943,0.8692634105682373,0.02288136257815049,0.6665089130401611,0.7362775802612305,0.022659211889414728,0.668501079082489,0.7375748157501221,0.02201296396560673,0.6710938215255737,0.7381869554519653,0.009974542138060994,0.8468455672264099,0.8770759105682373,0.015846257421474698,0.8138269186019897,0.8606604337692261,0.007230873365775952,0.8784742951393127,0.8982523679733276,44.528642467517464,5942.0,6065.0,49.46675651384473,687.0,822.0,96.33981523752264,4961.0,5223.0,134.11726212535058,979.0,1368.0,0.009389477956272636,0.8947137594223022,0.9229717254638672,0.009492844566671729,0.8946324586868286,0.9226030111312866,0.030065366075704935,0.4964830875396728,0.5746251940727234,0.04368436273846177,0.6789873242378235,0.8153768181800842,0.08133975746178719,0.3941313028335571,0.6397393941879272,0.08216269027385033,0.3794325292110443,0.6331121325492859,0.06471622599524215,0.4696214497089386,0.6417849063873291,0.07595154600935794,0.5767690539360046,0.8117586374282837,0.06442107231675756,0.796839714050293,0.9738562107086182,0.11358463756284816,0.4114285707473755,0.7488106489181519,119.1603961054175,432.0,787.0,119.33415269737328,264.0,618.0,54.44997704315402,751.0,909.0,62.292856733336606,16.0,180.0,0.035950309046075477,0.7957019209861755,0.8941388130187988,0.03220125592696978,0.8043748140335083,0.8852729797363281,0.015846257421474694,0.1393395662307739,0.1861730813980102,0.06442107231675755,0.0261437892913818,0.203160285949707,16.387800340497197,39747,39792
3,3.0,0.8170653700828552,0.8772244811058044,0.7541311502456665,0.7540446877479553,0.75409015417099,0.8820167422294617,0.8829852104187011,0.881097137928009,5959.0,804.2,5430.6,790.2,0.9301452159881591,0.9289934158325195,0.5208486557006836,0.7639933586120605,0.5469158411026,0.5363159656524659,0.5683652102947235,0.7404824495315552,0.890497875213623,0.6494003415107727,679.4,366.2,815.2,94.8,0.8556034803390503,0.8539523243904114,0.11701478958129877,0.10950212478637691,53030.4,0.0,3,3,0.02447468050667737,0.7758193612098694,0.8505228161811829,0.009170331035791526,0.8669108748435974,0.8936367034912109,0.018414005290820643,0.7332322597503662,0.7872555255889893,0.018349696875356036,0.7334381937980652,0.7869555950164795,0.01834901959985497,0.7334631681442261,0.7869861721992493,0.00894127843153297,0.8718023896217346,0.8976167440414429,0.010662041732113756,0.8683555722236633,0.9014315605163574,0.009354282239484066,0.871673583984375,0.893834114074707,60.093260853443454,5896.0,6045.0,63.71310697179976,718.0,868.0,59.013896668496656,5367.0,5541.0,77.18393615254406,661.0,899.0,0.005962143184467373,0.9225934743881226,0.9405467510223388,0.006146766105297074,0.9212732911109924,0.9397719502449036,0.02072240325771155,0.4890609383583069,0.545692503452301,0.04186432011397047,0.7316455841064453,0.8437025547027588,0.07314986200623777,0.4802051782608032,0.6831321716308594,0.07851139677813199,0.4754450917243957,0.6852003335952759,0.06708671142334927,0.4830014407634735,0.6859871745109558,0.06198164046959377,0.678787887096405,0.8562121987342834,0.06315436020740896,0.8004613518714905,0.9739583134651184,0.12363362070073576,0.5333333611488342,0.8753567934036255,131.66563712677655,560.0,920.0,128.5105443144647,131.0,490.0,54.33746405565869,748.0,885.0,68.009999264814,15.0,178.0,0.025637466852371737,0.8190048336982727,0.8917891383171082,0.024639251187390777,0.8136234283447266,0.8811883926391602,0.010662041732113759,0.0985684394836425,0.1316444277763366,0.06315436020740896,0.0260416865348815,0.1995386481285095,21.85040045399626,52996,53056
4,4.0,0.7379452109336853,0.889468789100647,0.7794304370880127,0.7787451386451721,0.778979754447937,0.8927926659584046,0.9020498991012573,0.8837902665138244,5977.2,786.0,5571.4,649.4,0.9433068752288818,0.9426267385482788,0.5049009442329406,0.7514871597290039,0.5254443883895874,0.5128312468528747,0.5497852206230164,0.7160496234893798,0.9049307703971863,0.5982543408870697,625.4,420.2,843.2,66.8,0.8521788835525512,0.853684401512146,0.09795010089874265,0.09506922960281367,66288.0,0.0,4,4,0.025291059600164905,0.7024809122085571,0.7737091183662415,0.007531537878626268,0.879807710647583,0.9025067687034608,0.015036085798055788,0.7601010799407959,0.8055037260055542,0.015030630712462047,0.7595204710960388,0.8048148155212402,0.014993182811960382,0.7597118616104126,0.8049721121788025,0.007682230539428445,0.8824889659881592,0.9056575894355774,0.008506202101884526,0.8922752141952515,0.9143933653831482,0.010257010344682503,0.8724128007888794,0.8970870971679688,65.22698827939244,5901.0,6067.0,69.94855252255046,696.0,863.0,59.284399296948266,5463.0,5634.0,60.773678512987836,568.0,726.0,0.0046708195398101286,0.9370515942573548,0.9499189257621764,0.004826328343921903,0.9362083673477172,0.9494576454162598,0.0418443258456399,0.4430116415023803,0.5536388158798218,0.04556011630914124,0.6953877210617065,0.8034188151359558,0.08910995822246313,0.4110958576202392,0.6352159976959229,0.08751016916812897,0.4021462202072143,0.6151866316795349,0.07630707770205016,0.4361223578453064,0.6464964747428894,0.07035429559746802,0.6193218231201172,0.7920904159545898,0.041390763734303206,0.8376722931861877,0.9498645067214966,0.09061395859454771,0.4609523713588714,0.6936250925064087,94.0608313805486,484.0,729.0,95.45134886422507,322.0,566.0,32.645979844385124,803.0,896.0,30.883005035132186,29.0,106.0,0.041774360143197665,0.7984044551849365,0.9124574065208436,0.03884618486138619,0.8052332997322083,0.9153200387954712,0.008506202101884509,0.0856066346168518,0.1077247858047485,0.0413907637343032,0.0501354932785034,0.1623277068138122,27.313000567495326,66245,66320
5,5.0,0.6658431053161621,0.9010476231575012,0.8031307935714722,0.8020225763320923,0.8024820685386658,0.9034584999084473,0.9182991504669189,0.8891119003295899,6013.2,750.0,5685.8,535.0,0.95441974401474,0.9539419412612915,0.4940671741962433,0.7838537573814393,0.580519437789917,0.5717015326023102,0.5885261774063111,0.7766879200935364,0.873164427280426,0.7060150980949402,738.2,307.4,794.2,115.8,0.8706728458404541,0.8651500940322876,0.08170084953308102,0.12683557271957394,79545.6,0.0,5,5,0.02309375038955631,0.6253395080566406,0.6916558146476746,0.006179375202479126,0.8938491940498352,0.9115310311317444,0.012275395822479024,0.7886638641357422,0.8241012096405029,0.012316665109092465,0.7877093553543091,0.82297283411026,0.012234265521525064,0.7882079482078552,0.8233850598335266,0.006401171240671891,0.8955470323562622,0.9138953685760498,0.005556177011549212,0.9114949703216552,0.9281793236732484,0.00834551650018207,0.8801475763320923,0.9000443816184998,52.231791085506536,5957.0,6087.0,57.00175435896688,676.0,812.0,46.47321809386563,5629.0,5750.0,36.68787265568828,471.0,579.0,0.004092363581574544,0.9501517415046692,0.961849331855774,0.004130481954239939,0.9497815370559692,0.9614731073379515,0.054198634486476445,0.4122993648052215,0.578082263469696,0.032196128412262284,0.7359351515769958,0.8275164365768433,0.06832789002472896,0.4708226919174194,0.6576941013336182,0.06524265191900228,0.4705265462398529,0.65504390001297,0.06902224849574687,0.4705559611320495,0.6580877304077148,0.03417642895883147,0.7444444298744202,0.8327611684799194,0.06751786855370003,0.7526673078536987,0.9543010592460632,0.06288394460952541,0.6380952596664429,0.8078020811080933,66.1465040648408,670.0,849.0,66.11989110698838,202.0,380.0,64.32231339123305,676.0,857.0,77.32373503653325,34.0,255.0,0.03340117044176073,0.8158075213432312,0.915120005607605,0.03674684942883233,0.8039089441299438,0.9175442457199096,0.005556177011549145,0.0718206763267517,0.0885050296783447,0.06751786855370001,0.0456989407539367,0.2473326921463012,32.775600680994394,79494,79584
6,6.0,0.5938403367996216,0.9129388570785523,0.8272055149078369,0.8258571028709412,0.8265097379684448,0.9148107886314392,0.9326577186584473,0.8976574659347534,6071.0,692.2,5782.4,438.4,0.9633662104606628,0.9632502317428588,0.5024801909923553,0.8000125885009766,0.6085008382797241,0.6023597061634064,0.6102784872055054,0.7971917748451233,0.8614647030830384,0.7445417165756225,778.6,267.0,785.0,125.0,0.8779251456260682,0.8701550841331482,0.0673422813415527,0.13853529691696165,92803.2,0.0,6,6,0.022113557050816836,0.5552030205726624,0.6222426295280457,0.006191055804327154,0.9056013226509094,0.924180507659912,0.01234830867322086,0.8124034404754639,0.8496748208999634,0.01235039849922736,0.811251699924469,0.848318874835968,0.012273859503423395,0.811956524848938,0.8488963842391968,0.00636011453616874,0.9068313837051392,0.9260179400444032,0.005936160422792689,0.9258689880371094,0.9429797530174256,0.008127429098715661,0.8885608911514282,0.9096554517745972,51.146847410177685,6020.0,6152.0,55.445107989794735,611.0,755.0,49.02489163680018,5715.0,5847.0,39.322258327822425,372.0,482.0,0.0028755892958952996,0.9596778154373168,0.968244731426239,0.0028399534090320314,0.9595073461532592,0.9680297374725342,0.07584468958465486,0.3628900349140167,0.5787379741668701,0.04671154718858185,0.7156614065170288,0.8461538553237915,0.09200780558530153,0.443419337272644,0.7083055973052979,0.09150268705660076,0.4373393952846527,0.694915235042572,0.0890423344647527,0.4509370326995849,0.7070295214653015,0.056226886508936244,0.695274293422699,0.8504983186721802,0.04258568704937097,0.801001250743866,0.9335664510726928,0.07734822391027822,0.6142034530639648,0.8525214195251465,82.0916560924434,640.0,896.0,80.5158369514967,155.0,402.0,15.748015748023622,766.0,810.0,37.656340767525464,57.0,160.0,0.04146709340260231,0.8062371015548706,0.9351047277450562,0.04077042875352512,0.8047829866409302,0.9334821701049804,0.00593616042279266,0.0570202469825744,0.0741310119628906,0.04258568704937101,0.0664335489273071,0.198998749256134,38.23820079449346,92743,92848
7,7.0,0.5315486490726471,0.9242258310317993,0.8498532772064209,0.8484390854835511,0.8491191506385803,0.9258335590362549,0.9441947102546692,0.9081835746765137,6142.2,621.0,5857.8,363.0,0.9700959920883179,0.9698944091796875,0.5473715126514435,0.7909637808799743,0.5897564649581909,0.583668690919876,0.5943524956703186,0.7928763866424561,0.850469446182251,0.7504358649253845,784.8,260.8,761.6,148.4,0.8694674730300903,0.8583898305892944,0.05580528974533078,0.149530553817749,106060.8,0.0,7,7,0.022940409359118362,0.4922074973583221,0.5547001957893372,0.0055361555336419345,0.9189560413360596,0.9335904121398926,0.011004193114261346,0.8390346765518188,0.8685300350189209,0.011044857845119797,0.837936520576477,0.8671441078186035,0.010951434375682582,0.8385568261146545,0.867734432220459,0.005643452853342801,0.9201383590698242,0.9351997971534728,0.004655100263988176,0.9379119873046876,0.9523298740386964,0.007107984282139279,0.9009461998939514,0.9186751246452332,44.946190049880755,6094.0,6213.0,48.4231349666665,550.0,670.0,41.911334982317136,5823.0,5924.0,30.113120064184645,311.0,405.0,0.002313203322960468,0.9677565693855286,0.9742727279663086,0.0022959884353713246,0.9674201607704164,0.9740337133407592,0.09158701201004156,0.406403124332428,0.674786388874054,0.03365439603466828,0.736441969871521,0.8371269702911377,0.07173169133559466,0.4669766426086426,0.6707630157470703,0.06878180400270473,0.4689620435237884,0.6722307801246643,0.07241230427271848,0.470306932926178,0.6726337671279907,0.031661602624175174,0.759036123752594,0.8492509126663208,0.07018688654238153,0.7338709831237793,0.9521912336349488,0.06557494827542715,0.6942856907844543,0.8629876375198364,70.55324230678559,717.0,907.0,68.18914869684178,144.0,321.0,68.11049845655221,634.0,816.0,86.99563207425992,36.0,297.0,0.03639251756116446,0.8032141923904419,0.9116220474243164,0.04109704208244617,0.7860977053642273,0.9127339124679564,0.004655100263988158,0.0476701259613037,0.0620880126953125,0.07018688654238152,0.0478087663650512,0.2661290168762207,43.70080090799252,105992,106112
8,8.0,0.47174367904663084,0.9348132252693176,0.8708928108215332,0.8695938110351562,0.8701573610305786,0.9363134384155274,0.9529564023017884,0.9202500104904174,6223.8,539.4,5913.6,307.2,0.9760674357414245,0.975890862941742,0.5661789536476135,0.7778421640396118,0.5709570169448852,0.5616081476211547,0.5838565826416016,0.7606861352920532,0.8806284189224243,0.6784064531326294,709.6,336.0,811.0,99.0,0.8585544943809509,0.8503671884536743,0.04704359769821164,0.11937158107757564,119318.4,0.0,8,8,0.0239475935163807,0.4335876107215881,0.5026777386665344,0.005285132341419676,0.927731990814209,0.9413806200027466,0.010506504135635086,0.8565809726715088,0.8838119506835938,0.010541273916399764,0.8554819822311401,0.8826904296875,0.010443369390532852,0.8560903668403625,0.8830702304840088,0.005426055076057982,0.9288130402565002,0.9430114030838012,0.0040361392960168675,0.9463847875595092,0.9577400088310242,0.006985422152516343,0.9118819236755372,0.9297649264335632,42.948341062257576,6178.0,6288.0,47.655429910976565,475.0,597.0,36.43953896525037,5876.0,5979.0,25.91833327974621,276.0,350.0,0.0023458818885581894,0.9727126955986024,0.9797160029411316,0.0023229663330619973,0.9725767374038696,0.9795528650283812,0.1076698452502426,0.4147084951400757,0.7380772233009338,0.05071245895414436,0.6893056035041809,0.8421851396560669,0.09687802666369288,0.3983209133148193,0.6797640323638916,0.09777501525843194,0.3898676037788391,0.6820416450500488,0.09114190473821637,0.4209684133529663,0.6830013394355774,0.07026612813722094,0.6404691934585571,0.8551532030105591,0.0486305912540617,0.8235294222831726,0.9577080607414246,0.11350623113933683,0.5239923000335693,0.876308262348175,120.5696479218547,546.0,921.0,118.21505826247348,130.0,496.0,37.33095230502431,744.0,856.0,50.2035855293225,31.0,182.0,0.04257928012091903,0.7781785130500793,0.9029130339622498,0.04175689459518702,0.7745862007141113,0.903145432472229,0.004036139296016846,0.0422599911689758,0.0536152124404907,0.04863059125406172,0.0422919392585754,0.1764705777168274,49.16340102149159,119241,119376
9,9.0,0.4218406558036804,0.9427511930465698,0.8868317127227783,0.885477077960968,0.8860725164413452,0.9440568685531616,0.9611973643302918,0.9275224208831787,6273.0,490.2,5967.6,253.2,0.9801305055618286,0.9800627827644348,0.6085017323493958,0.7961397767066956,0.6001960277557373,0.5942338526248931,0.603765320777893,0.7958013415336609,0.8563835740089416,0.7484356760978699,782.6,263.0,773.6,136.4,0.8688393831253052,0.8556065678596496,0.03880263566970822,0.14361642599105834,132576.0,0.0,9,9,0.022135114923937497,0.3862834870815277,0.4459981918334961,0.0042750381214002545,0.93810772895813,0.9493250846862792,0.008465857833246378,0.8777713775634766,0.8999111652374268,0.0085335753039348,0.876197874546051,0.8986073136329651,0.008444366873618428,0.8769263625144958,0.8991115689277649,0.004309385597352558,0.9395355582237244,0.9506348967552184,0.0030995052705683744,0.957798182964325,0.9663916826248168,0.005623387237919298,0.9212004542350768,0.935383677482605,35.28172331391991,6231.0,6326.0,38.28002089863588,437.0,533.0,46.953594111633244,5925.0,6053.0,19.85346317396539,220.0,276.0,0.0017018929356734382,0.9782015681266784,0.9825993776321412,0.0017129110915664425,0.9781254529953004,0.9826300740242004,0.14493162188180259,0.383256196975708,0.7887578010559082,0.036745776313354336,0.7359351515769958,0.836115300655365,0.0744148232457572,0.4744840860366821,0.6845238208770752,0.07307727549089582,0.4724569022655487,0.6694736480712891,0.07532575502914438,0.4738252162933349,0.6854071617126465,0.04051677777431984,0.7406669855117798,0.8512396812438965,0.05604221704837635,0.7693898677825928,0.9336550235748292,0.0702752448036867,0.680911660194397,0.8820171356201172,74.4542812738126,717.0,927.0,73.75093219749836,124.0,336.0,49.114559959344035,708.0,834.0,64.28872373908196,55.0,223.0,0.0382119854289109,0.8044800758361816,0.9244978427886964,0.042976752374962464,0.7864821553230286,0.9221518039703368,0.0030995052705684125,0.0336083173751831,0.042201817035675,0.05604221704837631,0.0663449764251709,0.2306101322174072,54.62600113499065,132490,132640
