,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,1.4357324838638306,0.5745863914489746,0.1095978021621704,0.1138934642076492,0.2096133232116699,0.7065563797950745,0.5528560876846313,0.9786253571510316,7646.0,167.0,932.0,6184.0,0.7327238321304321,0.7460885047912598,0.728374719619751,0.505316436290741,0.069523811340332,0.0654113963246345,0.1838791072368621,0.1300089061260223,1.0,0.069523811340332,73.0,977.0,925.0,0.0,0.5719716548919678,0.5496704578399658,0.4471439123153686,0.0,13259
1,1,1.052898406982422,0.7463712096214294,0.4752771854400635,0.4832380414009094,0.5222588181495667,0.7938500046730042,0.6895235776901245,0.9353741407394408,6325.0,437.0,3342.0,2848.0,0.8302338123321533,0.8381242752075195,0.5893998742103577,0.6724050641059875,0.3817503452301025,0.3672175705432892,0.4596633911132812,0.5643097758293152,0.96321839094162,0.3990476131439209,419.0,631.0,909.0,16.0,0.760247528553009,0.7632341980934143,0.3104764223098755,0.0367816090583801,26518
2,2,0.8981236815452576,0.8597127795219421,0.7167932987213135,0.7182902097702026,0.7190946340560913,0.8686094284057617,0.8498655557632446,0.888198733329773,6006.0,756.0,5129.0,1061.0,0.9101195931434632,0.909772515296936,0.5746251940727234,0.6789873242378235,0.3941313028335571,0.3794325292110443,0.4696214497089386,0.5767690539360046,0.9642857313156128,0.4114285707473755,432.0,618.0,909.0,16.0,0.7957019209861755,0.8043748140335083,0.1501344442367553,0.0357142686843872,39777
3,3,0.8116799592971802,0.8742279410362244,0.7485040426254272,0.7481002807617188,0.7481560707092285,0.8788397312164307,0.8840340971946716,0.8737059831619263,5908.0,854.0,5415.0,775.0,0.9306890964508056,0.9298094511032104,0.528425931930542,0.7316455841064453,0.4900901317596435,0.4762976765632629,0.5317585468292236,0.678787887096405,0.9333333373069764,0.5333333611488342,560.0,490.0,885.0,40.0,0.8368800282478333,0.8416062593460083,0.1159659028053283,0.0666666626930236,53036
4,4,0.7189608812332153,0.8911365270614624,0.7830500602722168,0.7821095585823059,0.7823989987373352,0.8943662047386169,0.9063163995742798,0.8827270269393921,5969.0,793.0,5573.0,617.0,0.9462131857872008,0.9458940029144288,0.5500382781028748,0.6987341642379761,0.4296010732650757,0.415251612663269,0.4888757467269897,0.6193218231201172,0.943469762802124,0.4609523713588714,484.0,566.0,896.0,29.0,0.8133033514022827,0.8202311992645264,0.0936836004257202,0.0565302371978759,66295
5,5,0.6624937653541565,0.900324285030365,0.8018784523010254,0.8005818128585815,0.8011188507080078,0.902837336063385,0.919233739376068,0.887015700340271,5998.0,764.0,5663.0,527.0,0.9541308879852296,0.9539082050323486,0.5031639337539673,0.7670885920524597,0.5516088008880615,0.5411615967750549,0.5671500563621521,0.7444444298744202,0.8933333158493042,0.6380952596664429,670.0,380.0,845.0,80.0,0.8609965443611145,0.8575572371482849,0.0807662606239318,0.1066666841506958,79554
6,6,0.5968108177185059,0.9104385375976562,0.8226315975189209,0.8209039568901062,0.8218336701393127,0.9122276306152344,0.9339944124221802,0.8914522528648376,6028.0,734.0,5764.0,426.0,0.9621084928512572,0.9621495008468628,0.500420868396759,0.8010126352310181,0.6088545322418213,0.6037648916244507,0.6091011166572571,0.800406277179718,0.8574537634849548,0.7504761815071106,788.0,262.0,794.0,131.0,0.8816478848457336,0.8715076446533203,0.0660055875778198,0.1425462365150451,92813
7,7,0.5347642302513123,0.9215565323829652,0.8447742462158203,0.8431151509284973,0.8439501523971558,0.9232396483421326,0.9437751173973083,0.9035788178443908,6110.0,652.0,5826.0,364.0,0.969969928264618,0.9698874354362488,0.4898533523082733,0.7822784781455994,0.5764478445053101,0.5686897039413452,0.5820004343986511,0.7722457647323608,0.8699284195899963,0.6942856907844543,729.0,321.0,816.0,109.0,0.8737738132476807,0.8661091327667236,0.0562248826026916,0.1300715804100036,106072
8,8,0.4683431982994079,0.933832585811615,0.8689713478088379,0.8676137924194336,0.868157148361206,0.9355396628379822,0.9519363045692444,0.9196982979774476,6219.0,543.0,5876.0,314.0,0.9769017696380616,0.976798951625824,0.5192199945449829,0.7772151827812195,0.5689833164215088,0.5598328709602356,0.5788307189941406,0.7616468071937561,0.8831658363342285,0.6695238351821899,703.0,347.0,832.0,93.0,0.8683629631996155,0.8605456352233887,0.0480636954307556,0.1168341636657714,119331
9,9,0.4252565205097198,0.9401636719703674,0.8818769454956055,0.8803069591522217,0.881023108959198,0.94156676530838,0.9604676365852356,0.9233954548835754,6244.0,518.0,5933.0,257.0,0.9805822968482972,0.9806144833564758,0.578583836555481,0.7929114103317261,0.5963191986083984,0.5891537666320801,0.6000674962997437,0.7859759330749512,0.8722415566444397,0.715238094329834,751.0,299.0,815.0,110.0,0.8702624440193176,0.8563807010650635,0.0395323634147644,0.1277584433555603,132590
