,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,0.2067917734384536,0.5608412027359009,0.0898709297180175,0.0927100479602813,0.1814030855894088,0.6977152824401855,0.5423887372016907,0.9777057766914368,7543.0,172.0,804.0,6364.0,0.7432329058647156,0.7630937099456787,0.8091936111450195,0.529411792755127,0.0032223463058471,0.0034014754928648,0.0412751138210296,0.6916943788528442,0.528694748878479,1.0,1041.0,0.0,3.0,928.0,0.6438411474227905,0.6434129476547241,0.4576112627983093,0.471305251121521,13254
1,1,0.1607498079538345,0.5611360669136047,0.0926802158355712,0.0954098477959632,0.2016486376523971,0.699581503868103,0.5412294864654541,0.9889171719551086,6603.0,74.0,648.0,5597.0,0.7432940602302551,0.77813720703125,0.8456290364265442,0.5958417654037476,0.1444988250732422,0.1512540429830551,0.2772649526596069,0.7222028374671936,0.5667396187782288,0.9951969385147096,1036.0,5.0,139.0,792.0,0.684447169303894,0.6902310848236084,0.4587705135345459,0.4332603812217712,26508
2,2,0.1294249296188354,0.624980628490448,0.2253142595291137,0.2308093011379242,0.3374547064304352,0.7300278544425964,0.5812117457389832,0.9812790155410768,6552.0,125.0,1524.0,4721.0,0.7826706171035767,0.8094818592071533,0.6521772742271423,0.6587221026420593,0.2793912887573242,0.2898017466068268,0.3894281387329101,0.7521178722381592,0.6099163889884949,0.9807876944541932,1021.0,20.0,278.0,653.0,0.7103214263916016,0.711189866065979,0.4187882542610168,0.3900836110115051,39762
3,3,0.1166826710104942,0.7146726250648499,0.4117418527603149,0.4188476204872131,0.489044725894928,0.7782788872718811,0.650221049785614,0.969147801399231,6471.0,206.0,2764.0,3481.0,0.8326661586761475,0.8464563488960266,0.8991174697875977,0.6485801339149475,0.2560930252075195,0.2664509415626526,0.3869101405143738,0.7495482563972473,0.6008111238479614,0.9961575269699096,1037.0,4.0,242.0,689.0,0.7091711163520813,0.710079550743103,0.349778950214386,0.3991888761520386,53016
4,4,0.0940828323364257,0.8502553701400757,0.692928671836853,0.6979869604110718,0.7152462601661682,0.868840217590332,0.7935859560966492,0.959862232208252,6409.0,268.0,4578.0,1667.0,0.9157642722129822,0.9174048900604248,0.6788551211357117,0.7145030498504639,0.4031053781509399,0.4130679368972778,0.4607618451118469,0.7754287719726562,0.6630286574363708,0.9337176084518432,972.0,69.0,437.0,494.0,0.761820912361145,0.7481643557548523,0.2064140439033508,0.3369713425636291,66270
5,5,0.0812005624175071,0.902104914188385,0.8006496429443359,0.8033337593078613,0.8074034452438354,0.909636378288269,0.8695711493492126,0.9535719752311708,6367.0,310.0,5290.0,955.0,0.9461541175842284,0.945742130279541,0.9042380452156068,0.7109533548355103,0.3947920799255371,0.4050438106060028,0.4576592445373535,0.7745253443717957,0.6583725810050964,0.940441906452179,979.0,62.0,423.0,508.0,0.7535198926925659,0.7375452518463135,0.1304288506507873,0.3416274189949035,79524
6,6,0.0704947933554649,0.9253985285758972,0.8487963676452637,0.8503557443618774,0.8516426086425781,0.929676115512848,0.9062722325325012,0.954320788383484,6372.0,305.0,5586.0,659.0,0.9602880477905272,0.958997905254364,1.1512959003448486,0.7079107761383057,0.3849424123764038,0.3964619040489197,0.4697893857955932,0.7779490947723389,0.6497102379798889,0.9692603349685668,1009.0,32.0,387.0,544.0,0.7396120429039001,0.7176076173782349,0.0937277674674987,0.3502897620201111,92778
7,7,0.0599864274263381,0.937625765800476,0.8739826679229736,0.8749707937240601,0.8754714727401733,0.9406130313873292,0.925743281841278,0.9559682607650756,6383.0,294.0,5733.0,512.0,0.9705765247344972,0.9697903394699096,1.3782179355621338,0.7236308455467224,0.421190857887268,0.4317008852958679,0.4826904237270355,0.7829549908638,0.6687074899673462,0.9442843198776244,983.0,58.0,444.0,487.0,0.7526317834854126,0.7222384810447693,0.0742567181587219,0.3312925100326538,106032
8,8,0.0514312274754047,0.94722181558609,0.8932583332061768,0.8942126631736755,0.8946694731712341,0.9497050046920776,0.935493230819702,0.9643552303314208,6439.0,238.0,5801.0,444.0,0.9782082438468932,0.9778108596801758,1.4894251823425293,0.7216024398803711,0.4180294275283813,0.4280621707439422,0.4741982817649841,0.7799599170684814,0.6691884398460388,0.9346781969070436,973.0,68.0,450.0,481.0,0.7502539157867432,0.7194440364837646,0.0645067691802978,0.3308115601539612,119286
9,9,0.0440903939306736,0.9582881927490234,0.915980577468872,0.916441023349762,0.9165446758270264,0.9599286317825316,0.9530557990074158,0.9669013023376464,6456.0,221.0,5927.0,318.0,0.9843302965164183,0.983746349811554,1.4198864698410034,0.726673424243927,0.430927038192749,0.4400418996810913,0.4755575656890869,0.7797302603721619,0.6785206198692322,0.9164265394210817,954.0,87.0,479.0,452.0,0.7533711194992065,0.7207549810409546,0.0469442009925842,0.3214793801307678,132540
10,10,0.0389000512659549,0.9647887349128724,0.9290997982025146,0.9294705986976624,0.9295368194580078,0.9661231637001038,0.9606159329414368,0.9716938734054564,6488.0,189.0,5979.0,266.0,0.9874714016914368,0.9872071146965028,1.4539951086044312,0.7297160029411316,0.4382797479629516,0.4469802379608154,0.4782939255237579,0.7802062034606934,0.6835260391235352,0.9087415933609008,946.0,95.0,493.0,438.0,0.7543970346450806,0.7195565700531006,0.0393840670585632,0.3164739608764648,145794
11,11,0.0333121642470359,0.9702832102775574,0.9402409791946412,0.940484583377838,0.940512716770172,0.9713518619537354,0.9677419066429138,0.9749887585639954,6510.0,167.0,6028.0,217.0,0.9905518889427184,0.9901717901229858,1.7674696445465088,0.726673424243927,0.4293380975723266,0.4391318261623382,0.4812091886997223,0.7822222113609314,0.6750348806381226,0.9298751354217528,968.0,73.0,465.0,466.0,0.7422466278076172,0.7061429023742676,0.0322580933570861,0.3249651193618774,159048
12,12,0.0285134557634592,0.973920464515686,0.9476945400238036,0.9477779269218444,0.9477812051773072,0.974796175956726,0.9735584259033204,0.9760371446609496,6517.0,160.0,6068.0,177.0,0.9927807450294496,0.9926727414131165,1.394291639328003,0.7342799305915833,0.4538487195968628,0.4598508477210998,0.4733468890190124,0.7733563780784607,0.7033831477165222,0.8587896227836609,894.0,147.0,554.0,377.0,0.768156111240387,0.7320770025253296,0.0264415740966796,0.2966168522834778,172302
13,13,0.025996284559369,0.9766290187835692,0.9530606269836426,0.9531989693641664,0.9532079100608826,0.977432370185852,0.9753915071487428,0.9794818162918092,6540.0,137.0,6080.0,165.0,0.9939912557601928,0.9937422275543212,1.6336334943771362,0.7241379022598267,0.4286210536956787,0.4364477097988128,0.4618980586528778,0.7731443047523499,0.6831245422363281,0.890489935874939,927.0,114.0,501.0,430.0,0.747339129447937,0.7109282612800598,0.0246084928512573,0.3168754577636719,185556
14,14,0.0225271712988615,0.9812722206115724,0.9624714851379396,0.9625014662742616,0.96250182390213,0.9818862080574036,0.9814454317092896,0.982327401638031,6559.0,118.0,6121.0,124.0,0.9953214526176452,0.995014190673828,1.6973165273666382,0.7337728142738342,0.4516396522521972,0.4581657648086548,0.474358320236206,0.7749678492546082,0.6996904015541077,0.8683957457542419,904.0,137.0,543.0,388.0,0.7566191554069519,0.7166686058044434,0.0185545682907104,0.3003095984458923,198810
