,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,0.1932013779878616,0.5519984364509583,0.0721564292907714,0.0744374468922615,0.148647740483284,0.6921991109848022,0.5374823212623596,0.9719913005828856,7600.0,219.0,728.0,6540.0,0.7219732403755188,0.7388559579849243,0.6812878251075745,0.5512820482254028,0.0,0.0,0.0,0.71074378490448,0.5512820482254028,1.0,1032.0,0.0,0.0,840.0,0.6104305386543274,0.6546818017959595,0.4625176787376404,0.4487179517745971,13264
1,1,0.1574368923902511,0.571069061756134,0.1134214401245117,0.1166587993502616,0.2219162434339523,0.7034947872161865,0.5472363233566284,0.9846539497375488,6673.0,104.0,816.0,5521.0,0.735029935836792,0.7675129175186157,0.4831151664257049,0.7003205418586731,0.3352435827255249,0.35627281665802,0.4503121376037597,0.7839815020561218,0.650479257106781,0.9864341020584106,1018.0,14.0,293.0,547.0,0.815945565700531,0.8312169909477234,0.4527636766433716,0.349520742893219,26528
2,2,0.1343657523393631,0.7217477560043335,0.4266958236694336,0.433709979057312,0.4975118339061737,0.7816408276557922,0.657439112663269,0.9637007713317872,6531.0,246.0,2934.0,3403.0,0.8151243329048157,0.8270177841186523,0.4460419118404388,0.8263888955116272,0.6173033714294434,0.6375672221183777,0.6729661226272583,0.8617609739303589,0.7680060863494873,0.981589138507843,1013.0,19.0,534.0,306.0,0.8817999958992004,0.8854016065597534,0.3425608873367309,0.2319939136505127,39792
3,3,0.1204950213432312,0.8206496834754944,0.6324323415756226,0.6378301382064819,0.6595258712768555,0.8453242182731628,0.7624866366386414,0.948354721069336,6427.0,350.0,4335.0,2002.0,0.8768754601478577,0.8786067962646484,0.4596884250640869,0.875534176826477,0.7567275762557983,0.7504942417144775,0.7529264092445374,0.8828557133674622,0.9174503684043884,0.8507751822471619,878.0,154.0,761.0,79.0,0.927273452281952,0.926545798778534,0.2375133633613586,0.0825496315956115,53056
4,4,0.1059912666678428,0.8570992946624756,0.7087844610214233,0.7124121189117432,0.7208481431007385,0.8711850643157959,0.8154677748680115,0.935074508190155,6337.0,440.0,4903.0,1434.0,0.9058265686035156,0.9060708284378052,0.4098166525363922,0.8664529919624329,0.7373753786087036,0.7320250868797302,0.7338638305664062,0.8748748898506165,0.9047619104385376,0.8468992114067078,874.0,158.0,748.0,92.0,0.9385815262794496,0.9380015730857848,0.1845322251319885,0.0952380895614624,66320
5,5,0.0956485718488693,0.8773829340934753,0.7508420944213867,0.7535907626152039,0.7581166625022888,0.8872844576835632,0.8451061844825745,0.9338940382003784,6329.0,448.0,5177.0,1160.0,0.9254001379013062,0.9251699447631836,0.3803122639656067,0.8584401607513428,0.7252768278121948,0.7170973420143127,0.7214722037315369,0.8648648858070374,0.9128094911575316,0.8217054009437561,848.0,184.0,759.0,81.0,0.937721073627472,0.9377950429916382,0.1548938155174255,0.0871905088424682,79584
6,6,0.0859056934714317,0.8939301371574402,0.78489089012146,0.7870396375656128,0.7896732687950134,0.901256501674652,0.868399441242218,0.9366976618766784,6348.0,429.0,5375.0,962.0,0.9401311874389648,0.9395543932914734,0.3455463349819183,0.8733974099159241,0.7490863800048828,0.7453718781471252,0.7462446093559265,0.8826151490211487,0.9027355909347534,0.8633720874786377,891.0,141.0,744.0,96.0,0.9433989524841307,0.9420965909957886,0.1316005587577819,0.0972644090652465,92848
7,7,0.0761586502194404,0.9062070846557616,0.8100000619888306,0.8117882609367371,0.8135511875152588,0.9120423197746276,0.8848341703414917,0.940976858139038,6377.0,400.0,5507.0,830.0,0.9533535242080688,0.9526785612106324,0.3404335975646972,0.8803418874740601,0.7614617347717285,0.7589403986930847,0.7593362331390381,0.8898721933364868,0.9031935930252076,0.876937985420227,905.0,127.0,743.0,97.0,0.9386157989501952,0.935407280921936,0.1151658296585083,0.0968064069747924,106112
8,8,0.0685391500592231,0.9190178513526917,0.8364802598953247,0.8376302719116211,0.838334321975708,0.9231659770011902,0.9056068062782288,0.94141948223114,6380.0,397.0,5672.0,665.0,0.9621255397796632,0.9617851376533508,0.3494117558002472,0.8563033938407898,0.72095787525177,0.7128270864486694,0.7171759605407715,0.8628250956535339,0.9106566309928894,0.819767415523529,846.0,186.0,757.0,83.0,0.9395806193351746,0.937964916229248,0.0943931937217712,0.0893433690071106,119376
9,9,0.0628947168588638,0.926795780658722,0.8523508310317993,0.8532687425613403,0.8537086248397827,0.9302528500556946,0.9162730574607848,0.944665789604187,6402.0,375.0,5752.0,585.0,0.9682241082191468,0.9681999683380128,0.3510349690914154,0.8664529919624329,0.7413620948791504,0.7330814599990845,0.7374676465988159,0.8725789785385132,0.9204301238059998,0.8294573426246643,856.0,176.0,766.0,74.0,0.936385691165924,0.9330538511276244,0.083726942539215,0.0795698761940002,132640
10,10,0.0557220615446567,0.93869149684906,0.8765993118286133,0.8771654963493347,0.8773280382156372,0.9412280917167664,0.9326379895210266,0.9499778747558594,6438.0,339.0,5872.0,465.0,0.975832462310791,0.9757288694381714,0.3495182693004608,0.870726466178894,0.7480065822601318,0.7411125898361206,0.744123101234436,0.8777777552604675,0.9166666865348816,0.8420542478561401,869.0,163.0,761.0,79.0,0.9344435930252076,0.9295402765274048,0.0673620104789733,0.0833333134651184,145904
11,11,0.0492079071700573,0.948070764541626,0.8955378532409668,0.8959738612174988,0.8960682153701782,0.9501062631607056,0.943539023399353,0.9567655324935912,6484.0,293.0,5949.0,388.0,0.980834424495697,0.9806283712387084,0.3690747022628784,0.8664529919624329,0.7344961166381836,0.731256902217865,0.7319338917732239,0.8764821887016296,0.8941532373428345,0.8594961166381836,887.0,145.0,735.0,105.0,0.9328227639198304,0.9266084432601928,0.0564609766006469,0.1058467626571655,159168
12,12,0.044103879481554,0.9544761180877686,0.908588409423828,0.9088257551193236,0.9088533520698548,0.9561190605163574,0.952548325061798,0.9597166776657104,6504.0,273.0,6013.0,324.0,0.985164761543274,0.9848982095718384,0.377301424741745,0.8584401607513428,0.7252768278121948,0.7170973420143127,0.7214722037315369,0.8648648858070374,0.9128094911575316,0.8217054009437561,848.0,184.0,759.0,81.0,0.9253708720207214,0.9196552634239196,0.0474516749382019,0.0871905088424682,172432
13,13,0.0399222113192081,0.9598901867866516,0.9194440841674804,0.9196702837944032,0.91969496011734,0.961329221725464,0.9579487442970276,0.9647336602211,6538.0,239.0,6050.0,287.0,0.987831711769104,0.9876983165740968,0.3661688268184662,0.8739316463470459,0.7535991668701172,0.7473094463348389,0.7497961521148682,0.8812877535820007,0.9163179993629456,0.8488371968269348,876.0,156.0,760.0,80.0,0.9297565817832948,0.9233881831169128,0.0420512557029724,0.0836820006370544,185696
14,14,0.0346573889255523,0.9653042554855348,0.9304022789001464,0.9305213689804076,0.930528163909912,0.9664923548698424,0.9647162556648254,0.9682750701904296,6562.0,215.0,6097.0,240.0,0.990497589111328,0.990380048751831,0.3979281485080719,0.8579059839248657,0.7234219312667847,0.7158119678497314,0.719606876373291,0.8648374080657959,0.9091880321502686,0.8246123790740967,851.0,181.0,755.0,85.0,0.9262697696685792,0.9186121821403505,0.0352837443351745,0.0908119678497314,198960
