,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,1.5071088075637815,0.5701807141304016,0.1109243631362915,0.1141519919037818,0.1868487149477005,0.6974984407424927,0.5490619540214539,0.95592999458313,7375.0,340.0,1111.0,6057.0,0.7375028729438782,0.7596945762634277,0.6566051244735718,0.6845842003822327,0.3395055532455444,0.3491756021976471,0.406108021736145,0.7579766511917114,0.6370176672935486,0.9356387853622437,974.0,67.0,376.0,555.0,0.7099809050559998,0.6836192011833191,0.4509380459785461,0.3629823327064514,13254
1,1,1.15667724609375,0.6093484163284302,0.1945016384124755,0.199145957827568,0.2845313549041748,0.717293918132782,0.5728598237037659,0.959113359451294,6404.0,273.0,1470.0,4775.0,0.7539839148521423,0.7839011549949646,0.6352158784866333,0.7089249491691589,0.3895876407623291,0.4001702070236206,0.4581653177738189,0.7747252583503723,0.654943585395813,0.9481267929077148,987.0,54.0,411.0,520.0,0.7474460601806641,0.7259747982025146,0.4271401762962341,0.345056414604187,26508
2,2,0.9311305284500122,0.7751895785331726,0.5392205715179443,0.5450281500816345,0.5757228136062622,0.8114982843399048,0.7159377336502075,0.9364984035491944,6253.0,424.0,3764.0,2481.0,0.8696152567863464,0.8764787912368774,0.6240609288215637,0.7342799305915833,0.454416275024414,0.4601612687110901,0.4724563360214233,0.7723718285560608,0.7049960494041443,0.8539865612983704,889.0,152.0,559.0,372.0,0.7848439812660217,0.7654868960380554,0.2840622663497925,0.2950039505958557,39762
3,3,0.8022874593734741,0.877263605594635,0.751807451248169,0.7536501884460449,0.7556838393211365,0.8852885961532593,0.8560637831687927,0.9165793061256408,6120.0,557.0,5216.0,1029.0,0.9303185343742372,0.9306744337081908,0.9209052324295044,0.7307302355766296,0.4391794204711914,0.4484168887138366,0.4841551184654236,0.7828220725059509,0.6816239356994629,0.9193083643913268,957.0,84.0,484.0,447.0,0.7677183151245117,0.7438112497329712,0.1439362168312072,0.3183760643005371,53016
4,4,0.681930661201477,0.9132487177848816,0.8259251117706299,0.8262376189231873,0.826290488243103,0.9165115356445312,0.9115555286407472,0.9215216636657716,6153.0,524.0,5648.0,597.0,0.9539437890052797,0.9536006450653076,0.6603361964225769,0.7418864369392395,0.4698469638824463,0.4757050573825836,0.4880531728267669,0.7785993814468384,0.7114467620849609,0.8597502112388611,895.0,146.0,568.0,363.0,0.7906292676925659,0.7681792974472046,0.0884444713592529,0.288553237915039,66270
5,5,0.607646107673645,0.922535240650177,0.8452649116516113,0.8449541330337524,0.8450051546096802,0.9246405363082886,0.9296094179153442,0.9197244048118592,6141.0,536.0,5780.0,465.0,0.9625654220581056,0.9622498750686646,1.1008024215698242,0.7388437986373901,0.4573867321014404,0.4660889208316803,0.4958214461803436,0.7863956689834595,0.6919708251953125,0.910662829875946,948.0,93.0,509.0,422.0,0.7662824392318726,0.7360098361968994,0.0703905820846557,0.3080291748046875,79524
6,6,0.5253686904907227,0.936155378818512,0.8727326393127441,0.8722401857376099,0.8723644614219666,0.9377123713493348,0.9454932808876038,0.9300584197044371,6210.0,467.0,5887.0,358.0,0.973013401031494,0.9727019667625428,0.9427253007888794,0.7347870469093323,0.4556038379669189,0.4612843692302704,0.4732581675052643,0.7725098133087158,0.7058823704719543,0.8530259132385254,888.0,153.0,561.0,370.0,0.7782315015792847,0.7488672733306885,0.0545067191123962,0.2941176295280456,92778
7,7,0.4553489089012146,0.9478408694267272,0.896207332611084,0.8956321477890015,0.8957973122596741,0.9490551948547364,0.9580345153808594,0.9402426481246948,6278.0,399.0,5970.0,275.0,0.9785151481628418,0.9781771302223206,0.8285314440727234,0.7287018299102783,0.4542913436889648,0.4549367725849151,0.4550844430923462,0.746084451675415,0.7373358607292175,0.7550432085990906,786.0,255.0,651.0,280.0,0.7896792888641357,0.7627325057983398,0.0419654846191406,0.2626641392707824,106032
8,8,0.4009847044944763,0.9557344317436218,0.9120638370513916,0.9114312529563904,0.9116275310516356,0.956732213497162,0.966529130935669,0.9471319317817688,6324.0,353.0,6026.0,219.0,0.9832084774971008,0.9826037883758544,1.4701846837997437,0.7373225092887878,0.4550724029541015,0.4633821845054626,0.4904031455516815,0.7839866280555725,0.6927044987678528,0.9029778838157654,940.0,101.0,514.0,417.0,0.7628828287124634,0.7279341220855713,0.033470869064331,0.3072955012321472,119286
9,9,0.347076416015625,0.9606097936630248,0.9216960668563844,0.921176016330719,0.9213072657585144,0.9615703821182252,0.9695493578910828,0.9537217020988464,6368.0,309.0,6045.0,200.0,0.9871288537979126,0.9870448112487792,1.2535775899887085,0.7322515249252319,0.4506871700286865,0.4562278389930725,0.4677287340164184,0.7700348496437073,0.7043824791908264,0.8491834998130798,884.0,157.0,560.0,371.0,0.775599479675293,0.7433050870895386,0.0304506421089172,0.2956175208091736,132540
10,10,0.292942076921463,0.9678842425346376,0.9362509250640868,0.9357323050498962,0.9358607530593872,0.9686721563339232,0.976560115814209,0.9609106183052064,6416.0,261.0,6091.0,154.0,0.9903309941291808,0.9901379346847534,0.9083795547485352,0.6932048797607422,0.3938581943511963,0.390204519033432,0.3957152962684631,0.6844027042388916,0.7488584518432617,0.630163311958313,656.0,385.0,711.0,220.0,0.7668898105621338,0.7393537759780884,0.023439884185791,0.2511415481567383,145794
11,11,0.2511235177516937,0.9719857573509216,0.9444267749786376,0.94393789768219,0.9440511465072632,0.9726874828338624,0.980082094669342,0.9654036164283752,6446.0,231.0,6114.0,131.0,0.99305659532547,0.9929475784301758,1.1829328536987305,0.7246450185775757,0.4450174570083618,0.4461567997932434,0.4466274976730346,0.7447108626365662,0.7292817831039429,0.7608069181442261,792.0,249.0,637.0,294.0,0.776772677898407,0.7447643280029297,0.0199179053306579,0.2707182168960571,159048
12,12,0.2181613892316818,0.9754682183265686,0.9513943195343018,0.9509066939353944,0.9510183930397034,0.9760844707489014,0.9834296107292176,0.9688482880592346,6469.0,208.0,6136.0,109.0,0.994282603263855,0.9942233562469482,1.906083583831787,0.7175456285476685,0.4168139696121216,0.4238128364086151,0.4444269239902496,0.7652760148048401,0.6816816926002502,0.8722382187843323,908.0,133.0,507.0,424.0,0.7459971308708191,0.7067615985870361,0.0165703892707824,0.3183183073997497,172302
13,13,0.1840079873800277,0.9801888465881348,0.9607787132263184,0.9603509902954102,0.9604361653327942,0.9807054400444032,0.9871036410331726,0.974389672279358,6506.0,171.0,6160.0,85.0,0.995672643184662,0.995613932609558,2.0978119373321533,0.7231237292289734,0.4269267320632934,0.4345718622207641,0.4588598906993866,0.77173912525177,0.6831976175308228,0.8866474628448486,923.0,118.0,503.0,428.0,0.741807758808136,0.7019432783126831,0.0128963589668273,0.3168023824691772,185556
14,14,0.1666825264692306,0.9819687604904176,0.9642959833145142,0.9639116525650024,0.963980197906494,0.9824508428573608,0.9881818294525146,0.9767859578132628,6522.0,155.0,6167.0,78.0,0.9966385960578918,0.996575653553009,1.5826148986816406,0.7276875972747803,0.4443116188049316,0.448511391878128,0.4550927579402923,0.7610146999359131,0.7089552283287048,0.8213256597518921,855.0,186.0,580.0,351.0,0.7656428813934326,0.7286729216575623,0.0118181705474853,0.2910447716712951,198810
