,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,2.706749200820923,0.8273352980613708,0.464754581451416,0.5090134143829346,0.5193700790405273,0.6170398592948914,0.7302133440971375,0.534239649772644,2122.0,1850.0,10499.0,784.0,0.8273352980613708,0.7926491498947144,1.9171355962753296,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2697866559028625,0.4101796150207519,13262
1,1,2.70674991607666,0.8235161304473877,0.4658766984939575,0.5134830474853516,0.5274101495742798,0.6241567730903625,0.7578003406524658,0.5305843949317932,1943.0,1719.0,8976.0,621.0,0.8235161304473877,0.7884763479232788,1.9171359539031985,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2421996593475341,0.4101796150207519,26524
2,2,2.706748485565185,0.8235161304473877,0.4658766984939575,0.5134830474853516,0.5274101495742798,0.6241567730903625,0.7578003406524658,0.5305843949317932,1943.0,1719.0,8976.0,621.0,0.8235161304473877,0.7884763479232788,1.917136073112488,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2421996593475341,0.4101796150207519,39786
3,3,2.706749677658081,0.8235161304473877,0.4658766984939575,0.5134830474853516,0.5274101495742798,0.6241567730903625,0.7578003406524658,0.5305843949317932,1943.0,1719.0,8976.0,621.0,0.8235161304473877,0.7884763479232788,1.917136192321777,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2421996593475341,0.4101796150207519,53048
4,4,2.706747770309448,0.8235161304473877,0.4658766984939575,0.5134830474853516,0.5274101495742798,0.6241567730903625,0.7578003406524658,0.5305843949317932,1943.0,1719.0,8976.0,621.0,0.8235161304473877,0.7884763479232788,1.9171353578567505,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2421996593475341,0.4101796150207519,66310
5,5,2.706747770309448,0.8235161304473877,0.4658766984939575,0.5134830474853516,0.5274101495742798,0.6241567730903625,0.7578003406524658,0.5305843949317932,1943.0,1719.0,8976.0,621.0,0.8235161304473877,0.7884763479232788,1.917136073112488,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2421996593475341,0.4101796150207519,79572
6,6,2.706747770309448,0.8235161304473877,0.4658766984939575,0.5134830474853516,0.5274101495742798,0.6241567730903625,0.7578003406524658,0.5305843949317932,1943.0,1719.0,8976.0,621.0,0.8235161304473877,0.7884763479232788,1.9171357154846191,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2421996593475341,0.4101796150207519,92834
7,7,2.706747770309448,0.8235161304473877,0.4658766984939575,0.5134830474853516,0.5274101495742798,0.6241567730903625,0.7578003406524658,0.5305843949317932,1943.0,1719.0,8976.0,621.0,0.8235161304473877,0.7884763479232788,1.9171355962753296,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2421996593475341,0.4101796150207519,106096
8,8,2.706747770309448,0.8235161304473877,0.4658766984939575,0.5134830474853516,0.5274101495742798,0.6241567730903625,0.7578003406524658,0.5305843949317932,1943.0,1719.0,8976.0,621.0,0.8235161304473877,0.7884763479232788,1.9171357154846191,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2421996593475341,0.4101796150207519,119358
9,9,2.7067482471466064,0.8235161304473877,0.4658766984939575,0.5134830474853516,0.5274101495742798,0.6241567730903625,0.7578003406524658,0.5305843949317932,1943.0,1719.0,8976.0,621.0,0.8235161304473877,0.7884763479232788,1.9171359539031985,0.875,0.5544188022613525,0.5374310612678528,0.5379617214202881,0.611801266670227,0.589820384979248,0.6354838609695435,197.0,113.0,1553.0,137.0,0.875,0.846232533454895,0.2421996593475341,0.4101796150207519,132620
