,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,1.604825496673584,0.358664870262146,0.0868772268295288,0.050109464675188,0.1149340271949768,0.4361178576946258,0.2842569053173065,0.936354398727417,3678.0,250.0,1641.0,9261.0,0.4627822041511535,0.519428551197052,0.8279122710227966,0.1578148752450943,0.0020900964736938,0.0006454490358009,0.0106278723105788,0.2668428122997284,0.1540416926145553,0.9967105388641356,303.0,1.0,9.0,1664.0,0.2133619785308838,0.3708825707435608,0.7157430946826935,0.8459583073854446,13262
1,1,1.225114822387695,0.5693780183792114,0.3766796588897705,0.2604983448982239,0.3643776774406433,0.5542418956756592,0.3899067044258117,0.9580226540565492,3469.0,152.0,3909.0,5428.0,0.5683335065841675,0.5770003795623779,0.632829487323761,0.8032371997833252,0.5602192878723145,0.4256079196929931,0.4538046419620514,0.5385527610778809,0.421150267124176,0.7467105388641357,227.0,77.0,1361.0,312.0,0.8138624429702759,0.753444492816925,0.6100932955741882,0.578849732875824,26524
2,2,1.056835412979126,0.7847661972045898,0.6199750900268555,0.5370345711708069,0.5635775923728943,0.6924688220024109,0.5763583183288574,0.8671637773513794,3140.0,481.0,7029.0,2308.0,0.7926976680755615,0.761819064617157,0.541936457157135,0.8497723937034607,0.4617807865142822,0.4444343447685241,0.445089727640152,0.5337519645690918,0.5105105042457581,0.5592105388641357,170.0,134.0,1510.0,163.0,0.8966219425201416,0.8572201728820801,0.4236416816711426,0.4894894957542419,39786
3,3,0.9480933547019958,0.8253588676452637,0.6665043830871582,0.605818510055542,0.6191515326499939,0.7314584255218506,0.6412817239761353,0.8511461019515991,3082.0,539.0,7613.0,1724.0,0.8572973608970642,0.8319103121757507,0.5007875561714172,0.8558421730995178,0.4635699987411499,0.4555987119674682,0.4557392597198486,0.5410627722740173,0.5299684405326843,0.5526315569877625,168.0,136.0,1524.0,149.0,0.9019014835357666,0.8635940551757812,0.3587182760238647,0.4700315594673157,53048
4,4,0.8580414652824402,0.8522148728370667,0.7076640129089355,0.6585109233856201,0.6668293476104736,0.7643076777458191,0.6893872022628784,0.8574979305267334,3105.0,516.0,7938.0,1399.0,0.8923401832580566,0.8724158406257629,0.4926428198814392,0.8462316393852234,0.4872058629989624,0.4519280791282654,0.4544192552566528,0.5435435175895691,0.5,0.5953947305679321,181.0,123.0,1492.0,181.0,0.8909311294555664,0.8472453951835632,0.3106127977371216,0.5,66310
5,5,0.7583474516868591,0.8778361082077026,0.7513365745544434,0.712374746799469,0.7173488140106201,0.7993408441543579,0.7387534976005554,0.8707539439201355,3153.0,468.0,8222.0,1115.0,0.919385552406311,0.9047012329101562,0.4748410880565643,0.8406676650047302,0.5290822982788086,0.4635718464851379,0.4711652994155884,0.5582047700881958,0.4865525662899017,0.6546052694320679,199.0,105.0,1463.0,210.0,0.892597496509552,0.8529373407363892,0.2612465023994446,0.5134474337100983,79572
6,6,0.6658798456192017,0.8976693749427795,0.7844406366348267,0.7553251385688782,0.7580131888389587,0.8277474641799927,0.7814569473266602,0.879867434501648,3186.0,435.0,8446.0,891.0,0.9406737089157104,0.9303047060966492,0.5017083287239075,0.8477491140365601,0.5159164667129517,0.4686143398284912,0.4727768301963806,0.5592972040176392,0.5039578080177307,0.6282894611358643,191.0,113.0,1485.0,188.0,0.8774549961090088,0.8260632753372192,0.2185430526733398,0.4960421919822693,92834
7,7,0.5655423998832703,0.918660283088684,0.8235468864440918,0.8030460476875305,0.8043277859687805,0.860286295413971,0.8271730542182922,0.8961612582206726,3245.0,376.0,8659.0,678.0,0.9582205414772034,0.9513930082321168,0.4505636096000671,0.8603945374488831,0.401655912399292,0.42816361784935,0.430121511220932,0.5088967680931091,0.5542635917663574,0.4703947305679321,143.0,161.0,1558.0,115.0,0.9008234739303588,0.85747891664505,0.1728269457817077,0.4457364082336426,106096
8,8,0.4841066300868988,0.9333230257034302,0.8545472621917725,0.8376938104629517,0.8385322093963623,0.8844919800758362,0.8572168946266174,0.9135597944259644,3308.0,313.0,8786.0,551.0,0.9704837799072266,0.965924084186554,0.6439375877380371,0.8219524621963501,0.5392671823501587,0.4407885372638702,0.4569653570652008,0.5452196598052979,0.4489361643791199,0.6940789222717285,211.0,93.0,1414.0,259.0,0.8420236706733704,0.7808119058609009,0.1427831053733825,0.5510638356208801,119358
9,9,0.4083999693393707,0.948371648788452,0.8847305774688721,0.8734338879585266,0.8738000988960266,0.909533441066742,0.8910969495773315,0.9287489652633668,3363.0,258.0,8926.0,411.0,0.9797908067703248,0.9765111207962036,0.5717301368713379,0.8442084193229675,0.4686644077301025,0.4391148388385772,0.4409465491771698,0.5319148898124695,0.4943502843379974,0.5756579041481018,175.0,129.0,1494.0,179.0,0.8675995469093323,0.8105971217155457,0.1089030504226684,0.5056497156620026,132620
10,10,0.3475017249584198,0.9571692943572998,0.9025192260742188,0.8945789337158203,0.8947569727897644,0.9244589805603028,0.9114331603050232,0.9378624558448792,3396.0,225.0,9007.0,330.0,0.9835485219955444,0.9811495542526244,0.5615019798278809,0.8431967496871948,0.432476282119751,0.4178544878959656,0.4183534383773803,0.511040985584259,0.4909090995788574,0.5328947305679321,162.0,142.0,1505.0,168.0,0.8748804926872253,0.8193037509918213,0.0885668396949768,0.5090909004211426,145882
11,11,0.2867328822612762,0.9661985039711,0.9251940250396729,0.9168238043785096,0.9170166850090028,0.940408170223236,0.9267899990081788,0.954432487487793,3456.0,165.0,9064.0,273.0,0.9894464015960692,0.988188862800598,0.5712241530418396,0.8523014783859253,0.4405436515808105,0.4370146989822387,0.4370439350605011,0.524429976940155,0.5193548202514648,0.5296052694320679,161.0,143.0,1524.0,149.0,0.8789414167404175,0.8233050107955933,0.0732100009918212,0.4806451797485351,159144
12,12,0.2355009913444519,0.9732983708381652,0.9384286403656006,0.934007167816162,0.9340603947639464,0.952589750289917,0.945335865020752,0.9599558115005492,3476.0,145.0,9136.0,201.0,0.9934845566749572,0.992631196975708,0.6720699071884155,0.848254919052124,0.4707546234130859,0.4467061758041382,0.4479267597198486,0.5370370149612427,0.5058139562606812,0.5723684430122375,174.0,130.0,1503.0,170.0,0.8572958111763,0.7961627840995789,0.054664134979248,0.4941860437393188,172406
13,13,0.1994646042585373,0.9770798087120056,0.9492557048797609,0.9434338212013244,0.9435250163078308,0.9593985080718994,0.949918806552887,0.9690693020820618,3509.0,112.0,9152.0,185.0,0.9939066171646118,0.9927971363067628,0.5892296433448792,0.8477491140365601,0.3678704500198364,0.3860558867454529,0.3870434165000915,0.4746945798397064,0.5055761933326721,0.4473684132099151,136.0,168.0,1540.0,133.0,0.8716772794723511,0.8172242641448975,0.050081193447113,0.4944238066673279,185668
14,14,0.1781714260578155,0.9799351692199708,0.955247163772583,0.9504266381263732,0.9504888653755188,0.9643933176994324,0.9565335512161256,0.9723833203315736,3521.0,100.0,9177.0,160.0,0.9948390126228333,0.99406498670578,0.7984572649002075,0.8275164365768433,0.4300971031188965,0.3935500979423523,0.3965470790863037,0.496307224035263,0.4504021406173706,0.5526315569877625,168.0,136.0,1468.0,205.0,0.8321444988250732,0.7620030045509338,0.0434664487838745,0.5495978593826294,198930
