,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,0.9833955764770508,0.3623490035533905,0.1081607341766357,0.0613968670368194,0.1436264365911483,0.4386410713195801,0.2847062349319458,0.9549781084060668,3712.0,175.0,1687.0,9326.0,0.4827626645565033,0.523651123046875,1.0988675355911257,0.1553497910499572,0.0006086826324462,0.0001885581004898,0.0097101973369717,0.2682709395885467,0.1549150794744491,1.0,301.0,0.0,1.0,1642.0,0.2183050364255905,0.3641675412654876,0.7152937650680542,0.8450849205255508,13259
1,1,0.7835885882377625,0.3464567065238952,0.0923430919647216,0.0535264201462268,0.1583116203546524,0.4568202197551727,0.2966172397136688,0.9933035969734192,3560.0,24.0,928.0,8442.0,0.4402066767215729,0.5210564136505127,0.7701563239097595,0.6265432238578796,0.4550080299377441,0.2417778968811035,0.3292730152606964,0.420127809047699,0.2765510082244873,0.8737541437149048,263.0,38.0,955.0,688.0,0.5736174583435059,0.5364782214164734,0.7033827602863312,0.7234489917755127,26518
2,2,0.6387102007865906,0.514667272567749,0.317657470703125,0.2075872421264648,0.3289766609668731,0.5281093120574951,0.3612280488014221,0.9815848469734192,3518.0,66.0,3149.0,6221.0,0.5573242902755737,0.5904284119606018,0.6718077063560486,0.7433127760887146,0.5334702730178833,0.352304607629776,0.4046544134616852,0.4913353621959686,0.3544117510318756,0.8006644248962402,241.0,60.0,1204.0,439.0,0.727967381477356,0.6624780893325806,0.6387719511985779,0.6455882489681244,39777
3,3,0.533966600894928,0.712598443031311,0.5857832431793213,0.4492750763893127,0.5266322493553162,0.6518934369087219,0.4902264177799225,0.97265625,3486.0,98.0,5745.0,3625.0,0.7183756828308105,0.7047805786132812,0.6225795149803162,0.7767489552497864,0.543182373046875,0.3890466690063476,0.4267687499523163,0.5145413875579834,0.3878583610057831,0.7641196250915527,230.0,71.0,1280.0,363.0,0.7771368622779846,0.7116241455078125,0.5097735822200775,0.6121416389942169,53036
4,4,0.4557852149009704,0.7914929986000061,0.6933040618896484,0.5709740519523621,0.62152498960495,0.7202485799789429,0.5727227926254272,0.9701451063156128,3477.0,107.0,6776.0,2594.0,0.7968888878822327,0.7735623121261597,0.7543905973434448,0.7314814925193787,0.5411804914474487,0.3453287184238434,0.4055193960666656,0.4882352948188782,0.3463143110275268,0.8272425532341003,249.0,52.0,1173.0,470.0,0.7114768028259277,0.6506835222244263,0.4272772073745727,0.6536856889724731,66295
5,5,0.3784276247024536,0.8388142585754395,0.7611377239227295,0.6539815664291382,0.6891075968742371,0.769790530204773,0.6363470554351807,0.9740513563156128,3491.0,93.0,7375.0,1995.0,0.850639820098877,0.8272448778152466,0.6801027655601501,0.7664608955383301,0.5337231159210205,0.3742699325084686,0.4151623845100403,0.5043668150901794,0.3756097555160522,0.7674418687820435,231.0,70.0,1259.0,384.0,0.7747091054916382,0.7091949582099915,0.3636529445648193,0.6243902444839478,79554
6,6,0.3182719945907593,0.8700787425041199,0.8055669069290161,0.7127848863601685,0.737733781337738,0.8060836791992188,0.6865554451942444,0.9760044813156128,3498.0,86.0,7773.0,1597.0,0.8890803456306458,0.8701380491256714,0.4878639578819275,0.8389917612075806,0.4377293586730957,0.4157307744026184,0.4168368279933929,0.511700451374054,0.4823529422283172,0.5448504686355591,164.0,137.0,1467.0,176.0,0.8679101467132568,0.812219500541687,0.3134445548057556,0.5176470577716827,92813
7,7,0.2577861547470093,0.9011116027832032,0.8517433404922485,0.7751501798629761,0.7913542985916138,0.8459410667419434,0.7433946132659912,0.9813057780265808,3517.0,67.0,8156.0,1214.0,0.924105942249298,0.9083942770957948,0.6818014979362488,0.798353910446167,0.4710550308227539,0.3794205486774444,0.3954459726810455,0.4974358975887298,0.4050104320049286,0.644518256187439,194.0,107.0,1358.0,285.0,0.8072419166564941,0.7356403470039368,0.2566053867340088,0.5949895679950714,106072
8,8,0.2148500829935073,0.9212598204612732,0.8823549747467041,0.8176894187927246,0.828923761844635,0.8738560676574707,0.7847623229026794,0.9857701063156128,3533.0,51.0,8401.0,969.0,0.9416757822036744,0.9281033277511596,0.4736731946468353,0.8472222089767456,0.3714864253997803,0.3888992369174957,0.3897988498210907,0.4780316352844238,0.5074626803398132,0.4518272280693054,136.0,165.0,1511.0,132.0,0.883782148361206,0.8330049514770508,0.2152376770973205,0.4925373196601867,119331
9,9,0.1928105652332306,0.931912899017334,0.8958767652511597,0.8404185175895691,0.8486081957817078,0.8888328671455383,0.8105747103691101,0.9838169813156128,3526.0,58.0,8546.0,824.0,0.9523813724517822,0.940709352493286,0.4500967264175415,0.8395061492919922,0.3325070142745971,0.3515885174274444,0.3528096675872803,0.4448398649692535,0.4789271950721741,0.4152823984622955,125.0,176.0,1507.0,136.0,0.887533962726593,0.8405681848526001,0.1894252896308899,0.5210728049278259,132590
