,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,0.9785786271095276,0.2863086462020874,0.0109075307846069,0.0060799811035394,0.0452093370258808,0.43576779961586,0.2788866460323334,0.9961013793945312,3577.0,14.0,139.0,9249.0,0.3873141407966614,0.4692677855491638,1.104487419128418,0.2317574471235275,0.0873874425888061,0.029038693755865,0.1187928467988967,0.287756085395813,0.1681514531373977,0.9966996908187866,302.0,1.0,149.0,1494.0,0.2545977830886841,0.3930731415748596,0.7211133539676666,0.8318485468626022,13262
1,1,0.7904720306396484,0.3309191763401031,0.0684549808502197,0.0393398590385913,0.1288517564535141,0.4500316679477691,0.291253387928009,0.9894179701805116,3553.0,38.0,742.0,8646.0,0.4331405460834503,0.5179116129875183,1.136099934577942,0.3155190050601959,0.1865961551666259,0.0668810307979583,0.1841525137424469,0.3119834661483764,0.1849357038736343,0.9966996908187866,302.0,1.0,312.0,1331.0,0.29291433095932,0.4055283069610595,0.708746612071991,0.8150642961263657,26524
2,2,0.662309467792511,0.4558902978897095,0.2395092248916626,0.1497944593429565,0.2750167846679687,0.5008481740951538,0.3356066942214966,0.9866332411766052,3543.0,48.0,2374.0,7014.0,0.5131763219833374,0.567048966884613,0.9076390862464904,0.5313463807106018,0.4206926822662353,0.1909475624561309,0.31348517537117,0.3919999897480011,0.2456140369176864,0.9702970385551452,294.0,9.0,740.0,903.0,0.4626691043376922,0.4826968908309936,0.6643933057785034,0.7543859630823135,39786
3,3,0.5695956945419312,0.6394945979118347,0.4883573055267334,0.3515768945217132,0.451345145702362,0.6003245711326599,0.4329718947410583,0.9785575270652772,3514.0,77.0,4786.0,4602.0,0.6563572883605957,0.6606197357177734,1.1082634925842283,0.5580678582191467,0.4577255249023437,0.2140320390462875,0.3374861776828766,0.4077135026454925,0.257615327835083,0.9768977165222168,296.0,7.0,790.0,853.0,0.4909291565418243,0.4930109977722168,0.5670281052589417,0.742384672164917,53048
4,4,0.4834902584552765,0.7511364221572876,0.6375446319580078,0.5062657594680786,0.5705119967460632,0.6832712292671204,0.5273194909095764,0.9702032804489136,3484.0,107.0,6265.0,3123.0,0.7597683668136597,0.7441576719284058,0.7114493250846863,0.7029804587364197,0.583604097366333,0.3406321108341217,0.4276498258113861,0.4911971688270569,0.3349339663982391,0.9207921028137208,279.0,24.0,1089.0,554.0,0.6915225386619568,0.6342560052871704,0.4726805090904236,0.6650660336017609,66310
5,5,0.4038747251033783,0.8150088787078857,0.7275683879852295,0.6115292310714722,0.6546911001205444,0.7442752122879028,0.6026216149330139,0.9729880094528198,3494.0,97.0,7084.0,2304.0,0.830463171005249,0.8102617263793945,0.8750542402267456,0.6752312183380127,0.5776541233062744,0.3186372518539428,0.4198523759841919,0.4776859581470489,0.3186328411102295,0.9537953734397888,289.0,14.0,1025.0,618.0,0.6358708739280701,0.5884373188018799,0.3973783850669861,0.6813671588897705,79572
6,6,0.328504204750061,0.8613144159317017,0.7953692674636841,0.6965540647506714,0.7251728773117065,0.7961956262588501,0.6708643436431885,0.9791144728660583,3516.0,75.0,7663.0,1725.0,0.8814191222190857,0.8637886047363281,0.5446053743362427,0.798561155796051,0.5299270153045654,0.4088672399520874,0.4334138631820678,0.5254237055778503,0.4149139523506164,0.7161716222763062,217.0,86.0,1337.0,306.0,0.8379584550857544,0.7783811092376709,0.3291356563568115,0.5850860476493835,92834
7,7,0.2760933935642242,0.8889744877815247,0.8349852561950684,0.7506344318389893,0.7706037163734436,0.8302509188652039,0.7194773554801941,0.9813422560691832,3524.0,67.0,8014.0,1374.0,0.9125592708587646,0.8980917930603027,0.924057960510254,0.7322713136672974,0.5859963893890381,0.3652697801589966,0.4363389611244201,0.5061611533164978,0.355053186416626,0.8811880946159363,267.0,36.0,1158.0,485.0,0.7064201235771179,0.6423722505569458,0.2805226445198059,0.644946813583374,106096
8,8,0.2210614681243896,0.918791890144348,0.8794751167297363,0.8125483989715576,0.8246051669120789,0.8705159425735474,0.7788525223731995,0.9866332411766052,3543.0,48.0,8382.0,1006.0,0.942475199699402,0.93015718460083,0.6413269639015198,0.7918807864189148,0.478947639465332,0.3769713342189789,0.3963968753814697,0.4981412589550018,0.3988095223903656,0.6633663177490234,201.0,102.0,1340.0,303.0,0.8189442157745361,0.7530789375305176,0.2211474776268005,0.6011904776096344,119358
9,9,0.1819491982460022,0.934047281742096,0.9022854566574096,0.8455789089202881,0.8540763854980469,0.8924893140792847,0.812857449054718,0.9894179701805116,3553.0,38.0,8570.0,818.0,0.9575884938240052,0.9486165046691896,1.0121432542800903,0.7456320524215698,0.5076119899749756,0.344124436378479,0.3893366158008575,0.4838373363018036,0.353658527135849,0.7656765580177307,232.0,71.0,1219.0,424.0,0.735293447971344,0.6622549295425415,0.1871425509452819,0.646341472864151,132620
10,10,0.1453353762626648,0.9526928067207336,0.9299545288085938,0.887236475944519,0.8919663429260254,0.9206923246383668,0.8585882782936096,0.9924812316894532,3564.0,27.0,8801.0,587.0,0.9705768823623656,0.9635801315307616,0.9719820022583008,0.7631037831306458,0.5067723989486694,0.359977126121521,0.3967933058738708,0.4928492903709411,0.3696369528770447,0.7392739057540894,224.0,79.0,1261.0,382.0,0.7569094300270081,0.681908369064331,0.1414117217063903,0.6303630471229553,145882
11,11,0.1269795000553131,0.957854986190796,0.9369194507598876,0.8989694714546204,0.9026890993118286,0.9287110567092896,0.8728564381599426,0.9922027587890624,3563.0,28.0,8869.0,519.0,0.976392149925232,0.9708909392356871,0.7671722769737244,0.8011305332183838,0.4549112319946289,0.3755569756031036,0.3882204592227936,0.4927916228771209,0.408695638179779,0.6204620599746704,188.0,115.0,1371.0,272.0,0.8186646103858948,0.7474181652069092,0.1271435618400573,0.591304361820221,159144
12,12,0.1039444208145141,0.96594500541687,0.9479318857192992,0.9176357984542848,0.9199942350387572,0.9415807723999025,0.896100640296936,0.9919242262840272,3562.0,29.0,8975.0,413.0,0.9833672046661376,0.9793661236763,1.7821736335754397,0.7137718200683594,0.5506267547607422,0.3358964025974273,0.4075550436973572,0.4847363531589508,0.336760938167572,0.8646864891052246,262.0,41.0,1127.0,516.0,0.6729282736778259,0.6057873368263245,0.1038993597030639,0.663239061832428,172406
13,13,0.096593290567398,0.9686416387557985,0.952347993850708,0.923987090587616,0.9260477423667908,0.9460140466690063,0.9032421708106996,0.9930381774902344,3566.0,25.0,9006.0,382.0,0.9828672409057616,0.9783549308776855,0.9576401114463806,0.7821171879768372,0.4862251281738281,0.3697734177112579,0.3943981826305389,0.4952380955219269,0.3873370587825775,0.6864686608314514,208.0,95.0,1314.0,329.0,0.7910361886024475,0.7182908058166504,0.0967578291893005,0.6126629412174225,185668
14,14,0.0783270448446273,0.9728022217750548,0.958959698677063,0.9338294863700868,0.9354410171508788,0.9529019594192504,0.9147028923034668,0.9944305419921876,3571.0,20.0,9055.0,333.0,0.9891705513000488,0.986449897289276,0.8718516230583191,0.7929085493087769,0.4640147686004638,0.3707157075405121,0.3876083493232727,0.4918032884597778,0.3979591727256775,0.6435643434524536,195.0,108.0,1348.0,295.0,0.8028775453567505,0.7292421460151672,0.0852971076965332,0.6020408272743225,198930
